원료명,Moisture,조단백질,조지방,칼슘,인,조섬유,조회분
MDCM,0.75,0.12,0.15,0,0,0,0.01
돈피묵,0.7,0.12,0.11,0,0,0,0.0062
TEST,0.01,0.02,0.03,0.04,0.05,0.06,0.07
비타셀,0.1,0,0,0,0,0.65,0.03
셀룰로오스,0.1,0,0,0,0,0.65,0.03
비트펄프,0.1258,0.0922,0.0088,0.0069,0.001,0.2145,0.0428
BEETPULP,0.1258,0.0922,0.0088,0.0069,0.001,0.2145,0.0428
경화유,0.03,0,0.95,0,0,0,0
난황분,0.07,0.49,0.36,0,0,0,0.03
계란분말,0.07,0.49,0.36,0,0,0,0.03
EGG POWDER,0.07,0.49,0.36,0,0,0,0.03
계유,0.0147,0.0152,0.9206,,,,
계유 (닭기름),0.0147,0.0152,0.9206,,,,
Poultry FAT,0.0147,0.0152,0.9206,,,,
Poul FAT,0.0147,0.0152,0.9206,,,,
구아검,0.1,0,0,0,0,0,0
아스타잔틴,0.1,,,,,,
구연산,0.1,0,0,0,0,0,0
구연산나트륨,0.1,0,0,0,0,0,0
구연산 나트륨,0.1,0,0,0,0,0,0
글리세린,0.11,0,0,0,0,0,0
글리세린-70%,0.11,0,0,0,0,0,0
계육분,0.0662,0.6,0.1112,0.0483,0.0324,0.0305,0.2573
MEAT MEAL-1,0.0662,0.6,0.1112,0.0483,0.0324,0.0305,0.2573
offal-chk,0.0662,0.6,0.1112,0.0483,0.0324,0.0305,0.2573
계육분,0.0662,0.6,0.1112,0.0483,0.0324,0.0305,0.2573
치킨밀,0.0662,0.6,0.1112,0.0483,0.0324,0.0305,0.2573
원료1,0.0662,0.62,0.1112,0.0483,0.0324,0.0305,0.2573
원료2,0.0425,0.68,0.1171,0.0551,0.0308,0.0174,0.1827
원료3,0.0425,0.68,0.1171,0.0551,0.0308,0.0174,0.1827
원료4,0.0425,0.68,0.1171,0.0551,0.0308,0.0174,0.1827
원료5,0.1259,0.5498,0.0909,0.0014,0.0113,0.0003,0.0543
원료6,0.0693,0.4581,0.1053,0,0,0.0319,0.2695
원료7,0.0693,0.4581,0.1053,0,0,0.0319,0.2695
원료8,0.7,0.25,0.03,0,0,0,0
원료9,0.7,0.25,0.03,0,0,0,0.001
원료10,0.7,0.25,0.03,0,0,0,0.001
원료11,0.9,0.01,0.002,0.0002,0.001,0.015,0.02
원료12,0.9,0.01,0.002,0.0002,0.001,0.015,0.02
원료13,0.9,0.01,0.002,0.0002,0.001,0.015,0.02
원료14,,,,,,,
원료15,,,,,,,
원료16,0.1172,0.2216,0.0143,0.0047,0.0048,0.0222,0.0447
원료17,0.1172,0.2216,0.0143,0.0047,0.0048,0.0222,0.0447
원료18,0.1172,0.2216,0.0143,0.0047,0.0048,0.0222,0.0447
원료19,0.1172,0.2216,0.0143,0.0047,0.0048,0.0222,0.0447
원료20,0.1172,0.2216,0.0143,0.0047,0.0048,0.0222,0.0447
원료21,0.18,0.001,0.001,0,0,0,0.002
원료22,,,,,,,
원료23,0.084,0.285,0.0637,0.0055,0.0093,0.1834,0.1389
원료24,,,,,,,
원료25,,,,,,,
원료26,,,,,,,
원료27,0.1528,0.0023,0.0104,,,0.0001,0.0011
원료28,0.1272,0.4386,0.0159,0.0031,0.0058,0.0527,0.0638
원료29,0.1272,0.4386,0.0159,0.0031,0.0058,0.0527,0.0638
원료30,0.1272,0.4386,0.0159,0.0031,0.0058,0.0527,0.0638
