원료명,업체명,단가
감자가루20kg,(주)대명제분,1500
덱스트린25kg,주식회사 시온식품소재,1320
양육골분,㈜뉴웰엔터프라이스,3630
피로인산나트륨25kg,주식회사 은진캐미컬,2860
산성아황산나트륨25kg (메타중아황산),신원무역상사,2200
씨트리스팀25kg (베타글루칸),에코젠,7700
프락토올리고당25kg (액상),주식회사 수창,1221
리액션플레버(P)15kg,한국사료향미양행,3300
마리골드50g (루테인),(주)미래바이오텍,77000
아스타크산틴1kg (캐로필핑크),(주)이지바이오텍,330000
MSM 25kg,큐피드,8800
브로콜리분말,인그린(주),20900
PT125 1kg (브로멜라인),(주)이지바이오텍,30800
가르시니아 캄보지아1kg,(주)이지바이오텍,115500
녹색잎홍합분말25kg,(주)미래바이오텍,82500
L-카르니틴1kg,주식회사 시온식품소재,88000
위너20kg,(주)한펠,11000
카라멜색소10kg/C-2499,주식회사 남영F&C,4950
카라멜색소 분말 1호,㈜보락,7150
다시마분태10kg,인그린(주),11550
골드플랙스-M 20kg (아마종실분말),(주)미래생명자원,2475
블루베리 (분말),이든타운에프앤비 주식회사,41800
클로렐라분말10kg,제이엘(JL)후드텍,33000
글루코사민25kg,(주)미래바이오텍,18700
비트펄프1000kg,(주)이지바이오텍,605
인산칼슘25kg (MCP),(주)이지바이오텍,957
난황분20kg,(주)이지바이오텍,2277
라이신25kg,(주)이지바이오텍,1815
메치오닌25kg,(주)이지바이오텍,3245
트레오닌25kg,(주)이지바이오텍,1980
아마씨(EXL)25kg [kg],(주)이지바이오텍,2244
일라이트20kg (규조토),주식회사 선바이오텍,605
찐쌀40kg,후덱스무역,2090
프락토올리고당(분말)20kg,주식회사 수창,6270
티카테킨(녹차추출물)20kg(S&C),(주)지앤에프,66000
IGY치아기능20kg (Globigen66),(주)밀테크,99000
IGY장기능20kg (점프스타트케이피),(주)밀테크,106150
아스코필름노도섬 (에스틴),주식회사 에스틴,#VALUE!
프로폴리스(분말),유니크바이오텍 주식회사,88000
프로폴리스(분말),㈜미래바이오텍,50600
비타셀17.5kg,케이유화이버,3080
퀄리셀 20kg,케이유화이버,3080
정제포도당20kg,주식회사 수창,1265
세이지홀200g,케이에프몰(일반),26375
원료1,바이온에프엔비(F&B),550000
원료2,(주)비전바이오켐,5500
원료3,에프앤씨바이오주식회사,165000
원료4,한국캐릭터산업협동조합,24200
원료5,올텍바이오코리아(주),17600
원료6,주식회사 초성,3300
원료7,가보식품(주),8250
원료8,인그린(주),19250
원료9,아이앤지메딕스(I&G MEDIX),#VALUE!
원료10,아이앤지메딕스(I&G MEDIX),#VALUE!
원료11,아이앤지메딕스(I&G MEDIX),#VALUE!
원료12,(주)이지바이오텍,2200
원료13,(주)인섹트바이오텍,11000
원료14,(주)세원통상,24200
원료15,(주)미래바이오텍,42900
원료16,아이앤지메딕스(I&G MEDIX),#VALUE!
원료17,㈜시온식품소재,6930
원료18,씨앤티글로비즈,25300
원료19,(주)비알디코리아,5500
원료20,인투푸드(일반),20999
원료21,왕도매식자재마트(진접점),35200
원료22,왕도매식자재마트(진접점),35090
원료23,(주)재이상사,3190
원료24,(주)아르테미스,#VALUE!
원료25,주식회사 젤존바이오,25850
원료26,주식회사명진,374000
원료27,인그린(주),22000
원료28,큐피드,1342
원료29,큐피드,968
원료30,농업회사법인 안성사료 주식회사,957
원료31,(주)이지바이오텍,2200
오리분1000kg (톤백),농업회사법인 안성사료 주식회사,1045
계유(닭기름),농업회사법인 안성사료 주식회사,1067
소간분말(냉동보관),피엔피(P&P),15000
닭고기가슴살10kg,우림비엔에프,2750
돈피묵10kg,우림식품,990
연육(실꼬리돔)20kg,청우,2200
소고기10kg,대영축산,6600
MDCM 10kg,우림식품,550
오리안심10kg,(주)닭고기거래소-본점,3850
오리안심10kg,농업회사법인 ㈜ 사조원,3300
연어유180kg,주식회사 미주,2750
에틸말톨25kg,(주)신승하이켐,27500
연어갈비살10kg,(주)닭고기거래소-본점,4950
연어갈비살10kg,㈜동선,1650
돼지고기10kg,대영축산,5500
파슬리분태10kg,인그린(주),23100
파슬리분태10kg,이든타운에프앤비 주식회사,19250
메밀가루20kg,(주)대명제분,3300
밀가루20kg (중력1등) [해피팡팡],푸드웰,798
밀가루20kg (중력 1등),푸드웰,616
알파쌀20kg (팽화미),(주)대명제분,750
그릴스모크향10kg (액상),케이비에프(주),44000
